연번,경도,위도,Station 스테이션/성명,업무건물,주거건물,기타건물,대전지하철역,사고량,타슈이용량,총이용승객,경제인구수,교통량,하천여부,sum,순위
171,127.4284988,36.32366253,대흥네거리,0.030909090909090914,0.0008072916666666667,6.578947368421052e-05,0.0,0.047368421052631574,0.021131751010998144,0.004550922558234205,0.040821692686935085,0.0010071722194893264,0.0,0.14666213157773011,64
42,127.3677425,36.35350751,갈마네거리,0.011590909090909091,0.0025677083333333333,2.631578947368421e-05,0.0,0.05684210526315789,0.029551381382516347,0.006893852983129653,0.036351684470008215,0.0027419976721561076,0.0,0.1465659549846843,65
43,127.3742068,36.35409225,둔산여고,0.030909090909090914,0.0008593749999999999,0.0,0.0,0.0,0.060948070599795914,0.0016765821775635303,0.04889893179950699,0.00048606271849569577,0.0,0.14377811320445305,66
72,127.4294439,36.36981585,대덕경찰서(법동),0.042499999999999996,0.0001927083333333333,0.0,0.0,0.03789473684210526,0.007983105937488189,0.006831757613539468,0.04685291700903862,0.0007590560777677024,0.0,0.14301428181327255,67
151,127.447843,36.33697833,우송대 정문(건너편),0.07340909090909092,0.0020572916666666665,0.0,0.0,0.0,0.0417277674893231,0.00733337244588161,0.018364831552999176,0.0,0.0,0.14289235406396147,68
168,127.4354359,36.34098098,성남네거리,0.015454545454545457,0.0015052083333333332,2.631578947368421e-05,0.0,0.0663157894736842,0.014273026191466042,0.008312666670745887,0.03301561216105176,0.0022706210855783222,0.0,0.1411737851598787,69
134,127.4077718,36.32591348,중도일보,0.030909090909090914,0.0012552083333333332,6.578947368421052e-05,0.0,0.05684210526315789,0.014544200461090746,0.0033097710224248072,0.03136400986031224,0.002430313592478479,0.0,0.14072048891557262,70
187,127.3485211,36.34455915,양우건설 내안애,0.0,0.0,0.0,0.0,0.0,0.022765410635322576,0.0010895988096347882,0.015529991783073129,0.0005020970171914173,0.1,0.1398870982452219,71
66,127.3974764,36.48786699,도안 휴먼시아6단지,0.0,8.333333333333333e-05,0.0,0.0,0.0,0.038566272345893646,0.0,0.0004683648315529992,0.0,0.1,0.13911797051077998,72
199,127.3184478,36.36826175,노은1동주민센터,0.019318181818181818,0.0011458333333333333,0.0,0.05,0.0,0.03208454590120564,0.0038332552882024916,0.030780608052588334,0.0012449688456846097,0.0,0.13840739323919624,73
145,127.3486079,36.34914905,도안 호반베르디움(201동),0.0,0.0,0.0,0.0,0.0,0.014987338901696963,0.0014455925857005721,0.018553820870994248,0.0022859563091220075,0.1,0.1372727086675138,74
114,127.3968706,36.32971015,태평동성당,0.0038636363636363642,0.0027812499999999994,3.9473684210526316e-05,0.0,0.0,0.003664159643221588,0.001468728977755158,0.024963023829087917,0.0,0.1,0.13678027249791155,75
144,127.4064249,36.37923744,타슈 관제센터,0.0,9.895833333333333e-05,0.0,0.0,0.0,0.034968252768434176,0.00033089935705449394,0.0005505341002465078,0.0005014458429187157,0.1,0.13645009040198725,76
155,127.4112282,36.35860845,오정동 운암빌딩,0.011590909090909091,0.0010052083333333332,0.00027631578947368425,0.0,0.0663157894736842,0.03101307683585925,0.007505880379670064,0.017773212818405916,0.0006224844228423049,0.0,0.13610287714417782,77
16,127.3944519,36.35412463,국화아파트(501동),0.007727272727272727,0.000328125,0.0,0.0,0.0,0.0432423749952757,0.004636802196445533,0.08,0.0,0.0,0.13593457491899397,78
130,127.4365083,36.45392537,용정초등학교,0.015454545454545457,0.0005572916666666667,3.9473684210526316e-05,0.0,0.0,0.010119430061604746,0.0004560187193135963,0.009096138044371404,0.0,0.1,0.1357228976307124,79
13,127.3943619,36.35832669,삼천중학교(정문 맞은편),0.011590909090909091,0.00023437499999999996,0.0,0.0,0.0,0.031171812993688347,0.018690526280932956,0.07115858668857847,0.0006224844228423049,0.0,0.13346869447695114,80
120,127.4322162,36.35296429,한국통신 용전지점,0.007727272727272727,0.0030520833333333333,7.894736842105263e-05,0.0,0.05684210526315789,0.01564212555274198,0.0035871629737102484,0.043105998356614626,0.0017711308481246388,0.0,0.1318068264233765,81
65,127.3484913,36.35033664,도안 센트롤시티,0.0038636363636363642,5.208333333333333e-06,0.0,0.0,0.0,0.0025265505121130805,0.0037622120233653084,0.018216926869350863,0.0022859563091220075,0.1,0.13066049041092095,82
47,127.3825863,36.34879652,오페라웨딩홀,0.06954545454545455,0.00010416666666666667,0.0,0.0,0.0,0.03347348728221021,0.0003824127427242561,0.025883319638455218,0.0,0.0,0.1293888408755109,83
179,127.3148534,36.39122773,반석역 1번출구,0.007727272727272727,0.0005468749999999999,0.0,0.05,0.0,0.05137760308401679,0.006819714308030034,0.009712407559572719,0.0006101502935213158,0.0,0.1267940229724136,84
73,127.4284976,36.36857167,대전중앙병원,0.023181818181818182,0.0005833333333333333,0.0,0.0,0.03789473684210526,0.007539967496881969,0.007353492612587449,0.04913722267871815,0.0007590560777677024,0.0,0.12644962722321204,85
165,127.3877885,36.4219161,배울네거리,0.05022727272727273,0.000375,0.0,0.0,0.0,0.02576816962092294,0.011307569681824217,0.038562037797863595,0.0,0.0,0.12624004982788348,86
233,127.3949641,36.43864973,대덕산업단지 BRT정류장,0.0,0.0,0.0005263157894736842,0.0,0.0,0.019861861748365395,0.004203171211820724,0.0,0.0012357378602857697,0.1,0.12582708660994557,87
